rows,cols,noise,error,expected mag
7,3,0.0133333,2.53528e-05,745.577
7,3,0.015,3.53714e-05,666.854
7,3,0.0166667,2.81432e-05,810.019
7,3,0.0183333,2.11938e-05,658.172
7,3,0.02,4.27019e-05,555.711
7,3,0.0216667,4.39322e-05,950.225
7,3,0.0233333,3.43688e-05,488.613
7,3,0.025,3.08447e-05,788.493
7,3,0.0266667,4.20412e-05,1071.44
7,3,0.0283333,4.99518e-05,703.032
7,3,0.03,6.22565e-05,309.04
7,3,0.0316667,5.45915e-05,444.121
7,3,0.0333333,5.99925e-05,958.855
7,3,0.035,4.86924e-05,470.549
7,3,0.0366667,5.7581e-05,1205.66
7,3,0.0383333,7.42466e-05,313.798
7,3,0.04,9.78959e-05,896.306
7,3,0.0416667,7.98827e-05,780.951
7,3,0.0433333,7.79156e-05,514.458
7,3,0.045,7.97204e-05,1250.52
7,3,0.0466667,8.6002e-05,1392.69
7,3,0.0483333,7.76585e-05,1286.06
7,3,0.05,8.77361e-05,892.351
7,3,0,0,439.508
7,3,0.00166667,3.20135e-06,642.988
7,3,0.00333333,4.21358e-06,307.021
7,3,0.005,9.98471e-06,682.524
7,3,0.00666667,1.34809e-05,1209.14
7,3,0.00833333,1.22346e-05,1017.36
7,3,0.01,1.19724e-05,944.058
7,3,0.0116667,1.87512e-05,977.707
7,3,0.0133333,1.62035e-05,1036.93
7,3,0.015,3.10341e-05,1282.46
7,3,0.0166667,1.89995e-05,215.075
7,3,0.0183333,2.72715e-05,686.355
7,3,0.02,3.00851e-05,989.425
7,3,0.0216667,3.75186e-05,741.723
7,3,0.0233333,5.74137e-05,564.318
7,3,0.025,2.86813e-05,632.664
7,3,0.0266667,4.87564e-05,618.767
7,3,0.0283333,5.16871e-05,877.901
7,3,0.03,5.8463e-05,970.951
7,3,0.0316667,5.5636e-05,472.441
7,3,0.0333333,7.84852e-05,724.065
7,3,0.035,5.93276e-05,552.874
7,3,0.0366667,5.18321e-05,1289.99
7,3,0.0383333,5.40608e-05,721.51
7,3,0.04,8.18717e-05,954.191
7,3,0.0416667,8.62834e-05,864.999
7,3,0.0433333,7.62619e-05,894.762
7,3,0.045,8.09788e-05,35.7767
7,3,0.0466667,7.28508e-05,1065.3
7,3,0.0483333,8.02244e-05,824.927
7,3,0.05,0.000109985,602.41
7,3,0,0,255.226
7,3,0.00166667,3.09751e-06,868.318
7,3,0.00333333,5.69434e-06,500.639
7,3,0.005,6.39659e-06,365.98
7,3,0.00666667,1.52943e-05,922.303
7,3,0.00833333,1.35718e-05,851.328
7,3,0.01,1.82794e-05,763.489
7,3,0.0116667,1.98333e-05,661.669
7,3,0.0133333,2.80731e-05,1001.96
7,3,0.015,3.2908e-05,1199.65
7,3,0.0166667,3.92372e-05,968.71
7,3,0.0183333,2.97456e-05,1023.26
7,3,0.02,3.22845e-05,319.642
7,3,0.0216667,3.96425e-05,781.711
7,3,0.0233333,4.23959e-05,306.917
7,3,0.025,3.49329e-05,844.016
7,3,0.0266667,2.93594e-05,683.816
7,3,0.0283333,4.35343e-05,723.419
7,3,0.03,6.00408e-05,665.984
7,3,0.0316667,5.0211e-05,666.874
7,3,0.0333333,5.32916e-05,1352.92
7,3,0.035,4.60835e-05,483.721
7,3,0.0366667,4.61766e-05,960.348
7,3,0.0383333,4.94004e-05,673.702
7,3,0.04,7.6001e-05,1088.67
7,3,0.0416667,6.09527e-05,973.104
7,3,0.0433333,8.2722e-05,1079.25
7,3,0.045,8.53828e-05,718.435
7,3,0.0466667,7.81122e-05,824.799
7,3,0.0483333,7.49285e-05,990.825
7,3,0.05,0.000101097,343.904
7,3,0,0,641.452
7,3,0.00166667,4.00425e-06,799.252
7,3,0.00333333,4.25737e-06,982.157
7,3,0.005,9.3038e-06,132.641
7,3,0.00666667,1.15748e-05,1056.3
7,3,0.00833333,1.56561e-05,638.7
7,3,0.01,1.76066e-05,157.277
7,3,0.0116667,1.74129e-05,673.602
7,3,0.0133333,2.27005e-05,746.563
7,3,0.015,2.7396e-05,873.274
7,3,0.0166667,3.01595e-05,1080.23
7,3,0.0183333,2.89656e-05,815.539
7,3,0.02,3.70536e-05,1088.33
7,3,0.0216667,2.73442e-05,1331.97
7,3,0.0233333,4.09632e-05,560.319
7,3,0.025,5.01461e-05,834.557
7,3,0.0266667,3.33544e-05,255.875
7,3,0.0283333,3.70628e-05,577.079
7,3,0.03,5.71464e-05,997.939
7,3,0.0316667,4.69612e-05,958.512
7,3,0.0333333,4.97354e-05,1025.88
7,3,0.035,5.29888e-05,740.312
7,3,0.0366667,6.25607e-05,505.723
7,3,0.0383333,5.14479e-05,377.434
7,3,0.04,6.73628e-05,961.922
7,3,0.0416667,6.12828e-05,605.398
7,3,0.0433333,0.000114472,927.992
7,3,0.045,9.04559e-05,541.612
7,3,0.0466667,9.4929e-05,787.106
7,3,0.0483333,8.23197e-05,500.666
7,3,0.05,0.000102569,1331.22
7,3,0,0,768
7,3,0.00166667,3.36529e-06,1138.81
7,3,0.00333333,5.26059e-06,1038.27
7,3,0.005,8.05596e-06,817.386
7,3,0.00666667,1.2576e-05,1103.86
7,3,0.00833333,0,88.687
7,3,0.01,1.72512e-05,1084.59
7,3,0.0116667,2.19395e-05,1106.6
7,3,0.0133333,1.99233e-05,981.689
7,3,0.015,2.009e-05,1092.58
7,3,0.0166667,2.87579e-05,987.863
7,3,0.0183333,3.18706e-05,749.701
7,3,0.02,3.06286e-05,856.322
7,3,0.0216667,5.71312e-05,933.187
7,3,0.0233333,4.25819e-05,514.379
7,3,0.025,4.1792e-05,713.146
7,3,0.0266667,3.73994e-05,1025.93
7,3,0.0283333,4.83868e-05,1177.96
7,3,0.03,4.58503e-05,840.253
7,3,0.0316667,5.77865e-05,377.375
7,3,0.0333333,6.45583e-05,808.957
7,3,0.035,5.42221e-05,200.089
7,3,0.0366667,6.51529e-05,596.032
7,3,0.0383333,8.23092e-05,1210.75
7,3,0.04,5.63779e-05,139.986
7,3,0.0416667,5.59553e-05,209.286
7,3,0.0433333,5.72919e-05,293.59
7,3,0.045,7.14113e-05,755.436
7,3,0.0466667,8.41254e-05,982.659
7,3,0.0483333,5.88318e-05,477.751
7,3,0.05,7.50718e-05,544.098
7,3,0,0,638.409
7,3,0.00166667,4.05815e-06,906.588
7,3,0.00333333,8.769e-06,659.048
7,3,0.005,9.25436e-06,850.604
7,3,0.00666667,1.84879e-05,1113.67
7,3,0.00833333,1.08198e-05,657.839
7,3,0.01,2.03034e-05,913.3
7,3,0.0116667,1.52524e-05,695.904
7,3,0.0133333,2.57286e-05,1072.52
7,3,0.015,2.43796e-05,772.785
7,3,0.0166667,2.51131e-05,574.396
7,3,0.0183333,2.27641e-05,725.513
7,3,0.02,3.40739e-05,662.344
7,3,0.0216667,2.67461e-05,919.105
7,3,0.0233333,3.87389e-05,951.457
7,3,0.025,3.99212e-05,959.902
7,3,0.0266667,3.20488e-05,217.557
7,3,0.0283333,5.106e-05,514.854
7,3,0.03,5.57474e-05,1167.72
7,3,0.0316667,7.61986e-05,1220.26
7,3,0.0333333,4.70635e-05,568.277
7,3,0.035,6.23316e-05,1305.13
7,3,0.0366667,7.92709e-05,895.792
7,3,0.0383333,4.87911e-05,492.98
7,3,0.04,9.55255e-05,350.008
7,3,0.0416667,6.60148e-05,799.067
7,3,0.0433333,9.31888e-05,418.533
7,3,0.045,8.42868e-05,804.602
7,3,0.0466667,6.83711e-05,190.215
7,3,0.0483333,8.41879e-05,555.652
7,3,0.05,7.83227e-05,335.152
10,4,0,0,670.304
10,4,0.00166667,3.56901e-06,932.986
10,4,0.00333333,5.90726e-06,1302.28
10,4,0.005,1.1509e-05,1179.36
10,4,0.00666667,1.27508e-05,1286.18
10,4,0.00833333,1.78277e-05,628.664
10,4,0.01,1.48151e-05,1157.6
10,4,0.0116667,2.13649e-05,951.648
10,4,0.0133333,3.32263e-05,1342.15
10,4,0.015,2.53998e-05,840.128
10,4,0.0166667,2.9793e-05,558.855
10,4,0.0183333,3.35326e-05,607.536
10,4,0.02,2.92589e-05,1111.81
10,4,0.0216667,4.40654e-05,1419.11
10,4,0.0233333,3.17843e-05,1054.69
10,4,0.025,4.11578e-05,982.785
10,4,0.0266667,8.15612e-05,862.534
10,4,0.0283333,5.70515e-05,681.345
10,4,0.03,5.38872e-05,993.713
10,4,0.0316667,6.72227e-05,746.341
10,4,0.0333333,5.38036e-05,518.513
10,4,0.035,5.87883e-05,1078.89
10,4,0.0366667,8.34649e-05,652.586
10,4,0.0383333,8.00413e-05,855.048
10,4,0.04,8.70786e-05,1327.55
10,4,0.0416667,8.19165e-05,1313.06
10,4,0.0433333,0.000138904,1375.93
10,4,0.045,0.000103268,1310.7
10,4,0.0466667,7.92708e-05,941.559
10,4,0.0483333,8.37036e-05,836.344
10,4,0.05,0.000104955,1257.74
10,4,0,0,650.574
10,4,0.00166667,2.91034e-06,406.59
10,4,0.00333333,6.8855e-06,897.464
10,4,0.005,9.94403e-06,1196.66
10,4,0.00666667,1.14168e-05,1269.15
10,4,0.00833333,1.48974e-05,922.027
10,4,0.01,1.65043e-05,1241.39
10,4,0.0116667,1.62704e-05,590.16
10,4,0.0133333,3.22309e-05,771.341
10,4,0.015,3.03559e-05,812.263
10,4,0.0166667,3.48811e-05,804.93
10,4,0.0183333,3.29778e-05,928.419
10,4,0.02,3.13587e-05,794.633
10,4,0.0216667,3.43781e-05,829.845
10,4,0.0233333,4.86397e-05,1211.07
10,4,0.025,3.64812e-05,976.688
10,4,0.0266667,4.49714e-05,1299.83
10,4,0.0283333,5.67916e-05,1322.04
10,4,0.03,5.65051e-05,986.646
10,4,0.0316667,4.44959e-05,812.489
10,4,0.0333333,5.22738e-05,695.921
10,4,0.035,6.7752e-05,1190.6
10,4,0.0366667,5.70564e-05,539.625
10,4,0.0383333,7.49673e-05,1107.87
10,4,0.04,6.38116e-05,1060.23
10,4,0.0416667,7.31352e-05,1061.78
10,4,0.0433333,7.61876e-05,780.804
10,4,0.045,0.000118606,1368.36
10,4,0.0466667,0.00011021,948.984
10,4,0.0483333,0.000101776,1292.9
10,4,0.05,6.70083e-05,1150.61
10,4,0,0,949.507
10,4,0.00166667,2.89259e-06,1343.18
10,4,0.00333333,4.48034e-06,616.285
10,4,0.005,1.13589e-05,1278.97
10,4,0.00666667,9.34542e-06,894.218
10,4,0.00833333,1.28125e-05,1048
10,4,0.01,2.35749e-05,1242.9
10,4,0.0116667,2.04193e-05,415.582
10,4,0.0133333,2.97649e-05,1431.9
10,4,0.015,3.00827e-05,1092.25
10,4,0.0166667,3.32919e-05,581.22
10,4,0.0183333,3.01692e-05,1278.99
10,4,0.02,4.27995e-05,699.608
10,4,0.0216667,3.99576e-05,547.718
10,4,0.0233333,7.05265e-05,1095.96
10,4,0.025,4.25946e-05,1151.77
10,4,0.0266667,4.52309e-05,826.059
10,4,0.0283333,4.49999e-05,680.234
10,4,0.03,6.95091e-05,1279.52
10,4,0.0316667,4.49095e-05,634.508
10,4,0.0333333,8.27799e-05,1523.01
10,4,0.035,5.9077e-05,1256.28
10,4,0.0366667,3.94661e-05,624.661
10,4,0.0383333,5.99796e-05,710.845
10,4,0.04,6.86942e-05,972.943
10,4,0.0416667,7.55776e-05,1045.47
10,4,0.0433333,8.31777e-05,1134.28
